Reference, Count, Speakers
Let Us All Press On,1,['Elder Gary E. Stevenson']
Revelation 7:9–10,1,['Elder Matthew S. Holland']
Mosiah 4:12,1,['Elder D. Todd Christofferson']
Psalm 121:4,1,['Elder Jeffrey R. Holland']
Luke 18:1–8,1,['President M. Russell Ballard']
Doctrine and Covenants 121–23,1,['Elder Dieter F. Uchtdorf']
Mormon 8:39,1,['Elder Dieter F. Uchtdorf']
Jesus Christ﻿—the Master Healer,2,['Cristina B. Franco', 'Cristina B. Franco']
Isaiah 11:11–12,1,['President Russell M. Nelson']
Helaman 3:29,1,['President Russell M. Nelson']
Mosiah 5:15,1,['President Russell M. Nelson']
John 19:26–27,1,['President Henry B. Eyring']
Doctrine and Covenants 128:19  22,1,['Elder Gary E. Stevenson']
Mosiah 5:2,1,['Becky Craven']
4 Nephi 1:12  16,1,['Elder D. Todd Christofferson']
Genesis 32:28,1,['President Russell M. Nelson']
Moroni 7:48,2,['Michelle D. Craig', 'Michelle D. Craig']
The Restoration of the Fulness of the Gospel of Jesus Christ: A Bicentennial Proclamation to the World,1,['Elder Gerrit W. Gong']
Doctrine and Covenants 43:34,1,['Elder Ulisses Soares']
Doctrine and Covenants 93:12–17,1,['Elder Scott D. Whiting']
Saints: The Story of the Church of Jesus Christ in the Latter Days  vol. 1  The Standard of Truth  1815–1846,1,['Elder Gerrit W. Gong']
Matthew 5:48,1,['Elder Scott D. Whiting']
John 3:16,2,['Elder D. Todd Christofferson', 'Lisa L. Harkness']
Hear Him,1,['Elder Ulisses Soares']
1 Corinthians 2:14,1,['Elder Scott D. Whiting']
Mormon 9:11,1,['President Russell M. Nelson']
Lest Ye Be Wearied and Faint in Your Minds,2,['Lisa L. Harkness', 'Elder Jeffrey R. Holland']
Moroni 7:12–19,1,['Elder Scott D. Whiting']
1 Nephi 3:7,1,['Elder Scott D. Whiting']
Israel  Scattering of,1,['President Russell M. Nelson']
Luke 6:27–28  30,1,['President Dallin H. Oaks']
Doctrine and Covenants 122:1,1,['Elder Gerrit W. Gong']
Doctrine and Covenants 100:7,1,['Elder D. Todd Christofferson']
Micah 6:7,1,['Elder Dale G. Renlund']
3 Nephi 18:11,1,['Lisa L. Harkness']
2 Nephi 28:26  28,1,['Elder D. Todd Christofferson']
Matthew 22:35–40,1,['Elder Dale G. Renlund']
Doctrine and Covenants 98:37,1,['President Russell M. Nelson']
2 Nephi 1:15,1,['President Russell M. Nelson']
Genesis 37:2,1,['Elder Dieter F. Uchtdorf']
The Plan of Happiness,1,['Elder Dale G. Renlund']
Doctrine and Covenants 101:79–80,1,['Elder Quentin L. Cook']
Numbers 32:13,1,['Elder Jeffrey R. Holland']
Helaman 5:20–52,1,['Elder Jeffrey R. Holland']
Alma 36:11–17,1,['Elder Matthew S. Holland']
Doctrine and Covenants 87:8,1,['Elder David A. Bednar']
Doctrine and Covenants 121:45–46,1,['Elder Ulisses Soares']
Doctrine and Covenants 38:27,3,['Elder Quentin L. Cook', 'Elder Quentin L. Cook', 'Sharon Eubank']
The Standard of Truth,1,['Elder Gerrit W. Gong']
Go Forward in Faith,3,['Lisa L. Harkness', 'Elder Kelly R. Johnson', 'Elder Kelly R. Johnson']
How Do I Develop Christlike Attributes?,1,['Elder Scott D. Whiting']
2 Nephi 28:30,1,['Elder David A. Bednar']
Exodus 3:5,1,['Elder Ronald A. Rasband']
Teachings of Presidents of the Church: Spencer W. Kimball,1,['Elder Ulisses Soares']
Doctrine and Covenants 109:23,1,['Elder Kelly R. Johnson']
2 Nephi 2:8,1,['Lisa L. Harkness']
Doctrine and Covenants 11:13,1,['Elder Dale G. Renlund']
Exodus 19:5,1,['President Russell M. Nelson']
Moving Closer: Loving as the Savior Did,1,['President Dallin H. Oaks']
Abraham 2:10,1,['President Russell M. Nelson']
Moroni 7:24,1,['Elder Matthew S. Holland']
Moroni 8:12,1,['Elder Gerrit W. Gong']
Protect the Spiritual Power Line,1,['Elder Kelly R. Johnson']
Mark 5:1–15,1,['Michelle D. Craig']
Matthew 24:24,1,['President Russell M. Nelson']
Mormon 9:27–29,1,['Elder Ulisses Soares']
Alma 37:6,3,['Elder Gerrit W. Gong', 'Bishop W. Christopher Waddell', 'Elder Matthew S. Holland']
Alma 49–50,1,['President Russell M. Nelson']
1 Kings 17:1–7,1,['Elder Jeffrey R. Holland']
2 Corinthians 13:5,1,['Elder David A. Bednar']
4 Nephi 1:26,1,['Elder D. Todd Christofferson']
Revelation 21:4,1,['Elder Matthew S. Holland']
Minutes and Discourse  9 June 1842,2,['Sharon Eubank', 'Sharon Eubank']
Doctrine and Covenants 121:1,1,['Lisa L. Harkness']
2 Timothy 3:1–13,1,['President Russell M. Nelson']
Joseph Smith﻿—History 1:14,1,['Elder Gerrit W. Gong']
Isaiah 61:1,1,['Elder Gerrit W. Gong']
Mosiah 15:7,1,['President Russell M. Nelson']
Building Bridges,1,['Sharon Eubank']
Alma 36:24–26,1,['Elder Matthew S. Holland']
Ether 12:27,1,['Elder Scott D. Whiting']
Isaiah 9:6,1,['Elder Scott D. Whiting']
Doctrine and Covenants 105:3–5,1,['Elder Quentin L. Cook']
Psalm 119:2,1,['Elder Ulisses Soares']
Doctrine and Covenants 82:19,1,['Elder D. Todd Christofferson']
3 Nephi 9:22,1,['Lisa L. Harkness']
3 Nephi 27:19,1,['Elder Dale G. Renlund']
The Correct Name of the Church,1,['Elder Neil L. Andersen']
Doctrine and Covenants 25:1,1,['President Henry B. Eyring']
Isaiah 54:7,1,['President Russell M. Nelson']
Spiritual Treasures,1,['President Russell M. Nelson']
Ezekiel 18:8–9,1,['Elder Dale G. Renlund']
2 Nephi 31:20,1,['Elder David A. Bednar']
Doctrine and Covenants 68:4,1,['Elder Ulisses Soares']
Doctrine and Covenants 93:2,2,['Elder Scott D. Whiting', 'Elder D. Todd Christofferson']
Doctrine and Covenants 6:36,1,['Elder Neil L. Andersen']
Ether 3:14,1,['Lisa L. Harkness']
John 13:34,1,['Lisa L. Harkness']
Ephesians 4:13,1,['Elder Jeffrey R. Holland']
Alma 48:7,1,['President Russell M. Nelson']
Genesis 35:23–26,1,['President Russell M. Nelson']
Your Name Is Safe in Our Home,1,['Sharon Eubank']
Genesis 35:11–12,1,['President Russell M. Nelson']
Matthew 11:28–29,1,['President Henry B. Eyring']
Matthew 25:3–4  6–11,1,['Elder David A. Bednar']
2 Kings 6:15–17,1,['Michelle D. Craig']
Mosiah 4:13,1,['Elder Dale G. Renlund']
Alma 42:13,1,['Elder Matthew S. Holland']
Doctrine and Covenants 88:118,1,['President Russell M. Nelson']
Doctrine and Covenants 20:32–34,1,['Elder Dale G. Renlund']
Job 19:25,1,['Elder Scott D. Whiting']
If Ye Are Prepared Ye Shall Not Fear,1,['Bishop W. Christopher Waddell']
Mosiah 4:27,2,['Bishop W. Christopher Waddell', 'Bishop W. Christopher Waddell']
Mosiah 25:10,1,['Elder Matthew S. Holland']
Doctrine and Covenants 38:30,1,['President Russell M. Nelson']
Alma 32:40,1,['Elder Jeffrey R. Holland']
Alma 36:13–15,1,['Elder Matthew S. Holland']
Moses 7:18,3,['Elder Quentin L. Cook', 'Elder D. Todd Christofferson', 'Sharon Eubank']
Alma 7:11–12,2,['Elder Matthew S. Holland', 'President Henry B. Eyring']
John 21:1–6,1,['Elder Dieter F. Uchtdorf']
Jacob 5:50–51,1,['Sharon Eubank']
Alma 41:8,1,['Elder Dale G. Renlund']
Alma 4:6–19,1,['Elder D. Todd Christofferson']
Personal Finances for Self-Reliance ,1,['Bishop W. Christopher Waddell']
Joseph Smith﻿—History 1:31,1,['Elder Matthew S. Holland']
1 Nephi 15:24,1,['Elder Kelly R. Johnson']
Luke 10:30–32,1,['Michelle D. Craig']
For Peace at Home,1,['Elder Kelly R. Johnson']
Genesis 17:5,1,['President Russell M. Nelson']
Alma 32:43,1,['Elder Jeffrey R. Holland']
Young Women theme,1,['Becky Craven']
Acts 28:31,1,['Elder Gary E. Stevenson']
Doctrine and Covenants 9:7–9,1,['Elder Kelly R. Johnson']
Luke 4:32,1,['Elder Kelly R. Johnson']
Isaiah 61:3,1,['Elder Matthew S. Holland']
John 12:46,1,['Elder Neil L. Andersen']
Alma 31:5,1,['Elder D. Todd Christofferson']
The Testimony of Three Witnesses,1,['Elder Gerrit W. Gong']
Philippians 2:9–11,1,['Elder Neil L. Andersen']
Matthew 10:32,1,['Elder Neil L. Andersen']
Matthew 28:18,1,['Elder Kelly R. Johnson']
Israel,1,['President Russell M. Nelson']
Doctrine and Covenants 121:26–29,1,['President Russell M. Nelson']
John 14:6,2,['Elder Scott D. Whiting', 'Elder Neil L. Andersen']
1 Corinthians 12:31,1,['Elder D. Todd Christofferson']
Luke 15:17,1,['Elder Ulisses Soares']
Revelation 7:13–14,1,['Elder Matthew S. Holland']
John 16:33,1,['Lisa L. Harkness']
Articles of Faith 1:3,1,['Elder Dale G. Renlund']
Proverbs 23:7,1,['Elder Ulisses Soares']
Mark 4:38,1,['Lisa L. Harkness']
Mark 4:1,2,['Lisa L. Harkness', 'Lisa L. Harkness']
Doctrine and Covenants 123:17,2,['Elder Dieter F. Uchtdorf', 'Elder Jeffrey R. Holland']
Revelation 14:6,1,['Elder Gerrit W. Gong']
Luke 21:26,1,['President Russell M. Nelson']
Philippians 4:7,2,['Elder Ulisses Soares', 'President Russell M. Nelson']
The Healing Power of Christ,1,['President Dallin H. Oaks']
2 Nephi 2:11,1,['President Dallin H. Oaks']
Doctrine and Covenants 29:34–35,1,['Bishop W. Christopher Waddell']
4 Nephi 1:16,1,['Elder Quentin L. Cook']
Doctrine and Covenants 1:35,1,['President Russell M. Nelson']
Witnesses of Christ,1,['Elder Neil L. Andersen']
1 Peter 3:15,1,['Elder Neil L. Andersen']
Hebrews 4:15,1,['Elder Matthew S. Holland']
Faith in Jesus Christ,2,['Cristina B. Franco', 'Cristina B. Franco']
Abraham 3:25,1,['Elder David A. Bednar']
2 Nephi 2:25,1,['Elder Matthew S. Holland']
Doctrine and Covenants 101:77,1,['Elder Quentin L. Cook']
Doctrine and Covenants 38:30–31,1,['Elder David A. Bednar']
Abraham 3:25–26,1,['President Henry B. Eyring']
Doctrine and Covenants 109:22,2,['Elder Kelly R. Johnson', 'Elder Kelly R. Johnson']
Genesis 41:47–49,1,['Bishop W. Christopher Waddell']
Encircled about with Fire,1,['Michelle D. Craig']
2 Nephi 26:33,3,['Elder Quentin L. Cook', 'President Russell M. Nelson', 'Elder Dale G. Renlund']
Ephesians 2:19,2,['Elder Gerrit W. Gong', 'Elder Gerrit W. Gong']
Doctrine and Covenants 84:88,1,['President Russell M. Nelson']
Doctrine and Covenants 90:11,2,['Elder Quentin L. Cook', 'Elder Gerrit W. Gong']
Mosiah 4:3,1,['Elder Ronald A. Rasband']
Daniel 6:22,1,['Elder Neil L. Andersen']
Alma 36:17–21,1,['Elder Matthew S. Holland']
Matthew 22:37  39,1,['Elder D. Todd Christofferson']
Doctrine and Covenants 19:23,1,['Lisa L. Harkness']
Alma 58:11,1,['President Russell M. Nelson']
Doctrine and Covenants 115:6,1,['President Russell M. Nelson']
17,1,['Elder Dieter F. Uchtdorf']
Saints: The Story of the Church of Jesus Christ in the Latter Days ,2,['Elder Quentin L. Cook', 'Elder Quentin L. Cook']
Alma 19:6,1,['Elder Dale G. Renlund']
2 Nephi 32:5,2,['Milton Camargo', 'Elder Dale G. Renlund']
3 Nephi 9:19–20,1,['Elder Dale G. Renlund']
Doctrine and Covenants 98:8,1,['Elder Gerrit W. Gong']
1 Nephi 17:40,1,['President Russell M. Nelson']
Mosiah 18:21,1,['Elder Quentin L. Cook']
According to the Desire of [Our] Hearts,1,['Elder Ulisses Soares']
Doctrine and Covenants 121:1–2,1,['Elder Jeffrey R. Holland']
Alma 8:10–18,1,['Milton Camargo']
Luke 7:11–17,1,['Elder Dieter F. Uchtdorf']
Amos 3:7,1,['Elder Gerrit W. Gong']
Jacob 5:72,1,['Sharon Eubank']
Matthew 7:23,1,['Elder Scott D. Whiting']
4 Nephi 1:24,1,['Elder Quentin L. Cook']
Doctrine and Covenants 14:7,1,['President Russell M. Nelson']
Luke 22:42–43,1,['Elder Neil L. Andersen']
Alma 12:24,1,['President Russell M. Nelson']
2 Nephi 25:26,2,['Elder Neil L. Andersen', 'Elder Neil L. Andersen']
Doctrine and Covenants 6:5,1,['President Dallin H. Oaks']
1 Corinthians 15:22,1,['Elder Dale G. Renlund']
Mark 4:39,2,['Lisa L. Harkness', 'Lisa L. Harkness']
Mark 4:35–36,1,['Lisa L. Harkness']
Luke 23:34,2,['President M. Russell Ballard', 'President Henry B. Eyring']
Micah 7:18–19,1,['Elder Dale G. Renlund']
Preach My Gospel: A Guide to Missionary Service ,2,['Cristina B. Franco', 'Cristina B. Franco']
Another Testament of Jesus Christ,1,['Elder Neil L. Andersen']
Doctrine and Covenants 58:3–4,1,['President Henry B. Eyring']
Luke 22:19,1,['Steven J. Lund']
Matthew 4:1–11,1,['Elder Kelly R. Johnson']
Doctrine and Covenants 13,1,['Elder Neil L. Andersen']
Emergency Preparedness,1,['Bishop W. Christopher Waddell']
Acts 10:38,1,['President M. Russell Ballard']
